institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-U-0378,Indian Institute of Technology Ropar,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0378.pdf,79.11,30.54,70.31,59.24,30.75,Rupnagar,Punjab,55.95,25
IR-E-U-0064,Indian Institute of Technology Patna,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0064.pdf,78.2,39.24,62.28,51.86,28.57,Patna,Bihar,55.74,26
IR-E-U-0334,Visvesvaraya National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0334.pdf,67.7,45.19,69.73,53.77,15.56,Nagpur,Maharashtra,54.76,27
IR-E-U-0108,Jamia Millia Islamia,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0108.pdf,63.16,48.11,71.43,58.0,11.13,New Delhi,Delhi,54.58,28
IR-E-I-1480,Thapar Institute of Engineering & Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1480.pdf,65.95,47.65,65.69,54.82,17.42,Patiala,Punjab,54.45,29
IR-E-U-0391,Birla Institute of Technology & Science,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0391.pdf,61.95,34.87,77.36,56.26,42.47,Pilani,Rajasthan,54.39,30
IR-E-U-0184,Indian Institute of Technology Mandi,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0184.pdf,70.38,36.8,67.11,64.7,21.26,Mandi,Himachal Pradesh,54.17,31
IR-E-U-0497,Amity University Noida,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0497.pdf,71.22,50.11,51.01,56.94,8.05,Gautam Budh Nagar,Uttar Pradesh,53.09,32
IR-E-U-0255,Indian Institute of Space Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0255.pdf,78.65,24.02,62.88,62.97,33.32,Thiruvananthapuram,Kerala,53.01,33
IR-E-U-0363,Siksha `O` Anusandhan,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0363.pdf,74.73,29.41,68.18,64.26,10.7,Bhubaneswar,Odisha,52.38,34
IR-E-U-0410,Malaviya National Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0410.pdf,71.41,41.69,59.89,54.4,8.95,Jaipur,Rajasthan,52.25,35
IR-E-U-0098,Delhi Technological University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0098.pdf,63.36,31.12,73.21,53.07,36.91,New Delhi,Delhi,51.99,36
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0476.pdf,73.13,33.81,64.89,56.6,10.7,Thanjavur,Tamil Nadu,51.79,37
IR-E-U-0202,Birla Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0202.pdf,70.07,34.81,58.75,51.57,30.48,Ranchi,Jharkhand,51.42,38
IR-E-U-0496,Aligarh Muslim University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0496.pdf,70.58,45.83,56.57,40.89,10.7,Aligarh,Uttar Pradesh,51.39,39
IR-E-U-0172,National Institute of Technology Kurukshetra,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0172.pdf,63.85,41.64,61.65,54.75,17.42,Kurukshetra,Haryana,51.19,40
IR-E-U-0473,S. R. M. Institute of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0473.pdf,61.27,41.96,63.57,61.06,11.55,Chennai,Tamil Nadu,50.95,41
IR-E-U-0356,Kalinga Institute of Industrial Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0356.pdf,66.08,25.8,65.8,75.7,17.79,Bhubaneswar,Odisha,50.07,42
IR-E-U-0014,International Institute of Information Technology Hyderabad,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0014.pdf,53.01,36.66,73.92,52.91,24.77,Hyderabad,Telangana,49.45,43
